商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
27090000,石油原油及从沥青矿物提取的原油,344,俄罗斯,100717727712,千克,745986405,桶,356534185535
27090000,石油原油及从沥青矿物提取的原油,131,沙特阿拉伯,80759312027,千克,584170869,桶,311092438743
27090000,石油原油及从沥青矿物提取的原油,114,伊拉克,64624950019,千克,457851788,桶,238894065888
27090000,石油原油及从沥青矿物提取的原油,122,马来西亚,64411626019,千克,463731327,桶,222235398922
27090000,石油原油及从沥青矿物提取的原油,410,巴西,47075330375,千克,333561384,桶,172124366159
27090000,石油原油及从沥青矿物提取的原油,138,阿联酋,37509013706,千克,279128732,桶,150089817531
27090000,石油原油及从沥青矿物提取的原油,126,阿曼,35352073816,千克,260496581,桶,139382121540
27090000,石油原油及从沥青矿物提取的原油,202,安哥拉,29755550186,千克,212667687,桶,112032840887
27090000,石油原油及从沥青矿物提取的原油,118,科威特,19021665497,千克,136660869,桶,72016907446
27090000,石油原油及从沥青矿物提取的原油,501,加拿大,16327186828,千克,111545716,桶,53163743295
27090000,石油原油及从沥青矿物提取的原油,112,印度尼西亚,14510134452,千克,103585277,桶,48104016105
27090000,石油原油及从沥青矿物提取的原油,413,哥伦比亚,8297622393,千克,55184470,桶,26713786350
27090000,石油原油及从沥青矿物提取的原油,419,厄瓜多尔,8169345976,千克,55306130,桶,27359088885
27090000,石油原油及从沥青矿物提取的原油,130,卡塔尔,7249606079,千克,52007285,桶,28682717209
27090000,石油原油及从沥青矿物提取的原油,252,刚果民主共和国,118412000,千克,855643,桶,471256204
